#     Step             Time      Temperature                E_kin                     E_pot             Pressure
       293         146.5000        4320.3580          27.36401470        -222.43228280       26426.93253739
       294         147.0000        4315.2344          27.33156281        -222.47497613       27790.12856807
       295         147.5000        4361.8623          27.62689209        -222.71817850       29189.50615784
       296         148.0000        4443.2401          28.14231765        -223.05737532       29479.09251527
       297         148.5000        4486.1663          28.41420067        -223.41394465       29442.74148756
       298         149.0000        4548.3564          28.80809684        -223.85857182       29145.97375580
       299         149.5000        4673.6930          29.60194568        -224.55644929       28676.43675997
       300         150.0000        4848.7639          30.71079911        -225.46038543       27849.49714340
       301         150.5000        4963.4123          31.43695205        -226.24236304       26931.01061255
       302         151.0000        5026.2483          31.83493879        -226.59816216       25452.48599559
       303         151.5000        4987.7290          31.59096741        -226.33221954       24591.51970526
       304         152.0000        4886.4819          30.94969481        -225.49900327       25655.84159065
       305         152.5000        4710.8352          29.83719463        -224.75642976       25606.73421448
       306         153.0000        4645.9444          29.42619343        -224.72627552       24210.43202928
       307         153.5000        4695.1420          29.73779848        -224.84090622       23551.61429641
       308         154.0000        4652.8281          29.46979309        -224.59720401       24456.72619056
       309         154.5000        4556.4091          28.85910073        -224.12719221       24034.65312484
       310         155.0000        4514.0972          28.59110771        -223.72620019       23614.50833474
       311         155.5000        4497.5316          28.48618574        -223.32911151       22948.36382177
       312         156.0000        4348.9109          27.54486118        -222.76031688       21532.13101689
       313         156.5000        4216.3775          26.70542935        -222.07557789       19999.79865293
       314         157.0000        4074.2334          25.80512573        -221.39229784       18574.88087223
       315         157.5000        3899.4832          24.69830372        -220.85745880       16792.16707640
       316         158.0000        3848.3397          24.37437450        -220.63231088       15539.19815682
       317         158.5000        3813.5135          24.15379424        -220.69864701       14523.13510760
       318         159.0000        3900.4957          24.70471714        -220.85597492       14833.63119533
       319         159.5000        3922.6897          24.84528819        -220.88977130       15495.16252775
       320         160.0000        3832.6042          24.27470986        -220.70487367       14973.36609092
       321         160.5000        3847.3859          24.36833326        -220.44640171       15439.08938248
       322         161.0000        3869.0126          24.50531124        -220.62323265       14643.04070137
       323         161.5000        4025.7685          25.49816190        -221.31193227       13473.32722727
       324         162.0000        4193.3875          26.55981671        -221.94437624       13092.91247624
       325         162.5000        4224.4920          26.75682471        -222.41376098       12807.27742108
       326         163.0000        4251.6049          26.92855023        -223.13446946       11932.68853047
       327         163.5000        4399.5854          27.86582008        -223.91432073       11210.21793682
       328         164.0000        4465.4417          28.28293667        -224.29744683        9871.34505481
       329         164.5000        4404.8353          27.89907188        -224.26636166        9863.07313079
       330         165.0000        4371.0251          27.68492663        -223.98817834       10357.21468817
       331         165.5000        4343.6618          27.51161466        -223.64979395        9963.94408532
       332         166.0000        4279.3080          27.10401483        -223.42541733        8691.34529423
       333         166.5000        4384.4622          27.77003372        -223.47775264        7897.46483137
       334         167.0000        4405.9598          27.90619403        -223.78681647        6042.58521574
       335         167.5000        4513.6895          28.58852579        -224.08652819        4531.34571262
       336         168.0000        4579.8741          29.00772186        -224.11537706        3442.87800320
       337         168.5000        4495.6863          28.47449790        -223.79557577        2828.92175094
       338         169.0000        4496.5586          28.48002289        -223.44257065        2651.25080180
